name,category,id,daily_rate,weekly_rate,old_state,new_state,keeper_name,keeper_category,keeper_daily_rate,keeper_id
"Air Scrubber (550 CFM)","Production Supplies","c279eb16-91f5-4b8a-aaeb-adf367c6b8d9","0","225","isActive=true","isActive=false (archived)","Air Scrubber (550 CFM)","Safe Sets Equipment","75","ed9409c5-a543-4fae-9cc5-0940113de065"
"Worklight - Battery Powered Worklight PELICAN","Lighting Equipment","53cbb450-d942-4c9a-9083-4bb5dcc07502","0","75","isActive=true","isActive=false (archived)","Worklight - Battery Powered (Pelican)","Lighting Equipment","25","ffc2a031-9e31-4614-a3eb-270c45aa31fd"
"Worklight - Battery Powered Worklight (Dewalt)","Lighting Equipment","4bd9be3c-6be3-40fb-9745-e48f936c79c2","0","75","isActive=true","isActive=false (archived)","Worklight - Battery Powered (Dewalt)","Lighting Equipment","25","7ae032f0-2497-4926-abdc-87467ff7c39d"
"Leaf Blower - Electric (Plug In)","Electrical Equipment","4ad71698-1538-4d0d-8d98-52bcf8599ab5","0","45","isActive=true","isActive=false (archived)","Leaf Blower - Plug In","Production Supplies","15","4ff42476-f8f4-4b0a-b1e3-79c2feda8117"
"Leaf Blower - Battery Powered","Production Supplies","01e013c2-4a50-42f4-9f49-a587f7a659ad","0","75","isActive=true","isActive=false (archived)","Leaf Blower - Battery Powered (Milwaukee M18)","Production Supplies","25","c6886666-8ab4-46d1-8b46-df27c55ef94b"
"Bose Sound Link Flex (Bluetooth Speaker","Production Supplies","4292bd0b-9db2-4e41-9ccb-10845a7fc695","0","105","isActive=true","isActive=false (archived)","Bose Sound Link Flex (Bluetooth)","Production Supplies","35","ec46e67e-e28f-44ce-b898-ecc82f7de975"
"Caravan Canopy - 10' x 10' Tent, Black","Production Supplies","55ba6e50-2fe0-4cea-bca9-8a84d16d6e16","0","90","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', Black","Production Supplies","30","a994396b-cc08-42be-8f7b-2c7a25b55950"
"Caravan Canopy - 10' x 10' Tent, Blue","Production Supplies","f1bc1fda-32b4-4d8c-83dc-245fb2e93237","0","90","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', Blue","Production Supplies","30","c56f9959-0ea2-4b12-a026-7172fcee8f76"
"Caravan Canopy - 10' x 10' Tent, White","Production Supplies","14819078-09db-40f0-9844-977f19faa619","0","150","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', White","Production Supplies","30","a5561fcf-e16b-4627-9e89-db580d41a140"
"Caravan Canopy - 10' x 15' Tent, Black","Production Supplies","4745fd76-be74-4f31-b06f-24fc3a05bd3f","0","120","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', Black","Production Supplies","30","a994396b-cc08-42be-8f7b-2c7a25b55950"
"Caravan Canopy - 10' x 15' Tent, Blue","Production Supplies","581e2349-addb-4f37-80c2-660183ce80d7","0","120","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', Blue","Production Supplies","30","c56f9959-0ea2-4b12-a026-7172fcee8f76"
"Caravan Canopy - 10' x 15' Tent, White","Production Supplies","154e8b87-4088-49e7-bb6a-011d43707346","0","120","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', White","Production Supplies","30","a5561fcf-e16b-4627-9e89-db580d41a140"
"Caravan Canopy - 10' x 20' Tent, Black","Production Supplies","51362f97-3021-48cb-98cc-2053ad72aba0","0","165","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', Black","Production Supplies","30","a994396b-cc08-42be-8f7b-2c7a25b55950"
"Caravan Canopy - 10' x 20' Tent, Blue","Production Supplies","3dad7ce7-ee8e-40dc-add5-97ed208b0996","0","165","isActive=true","isActive=false (archived)","Caravan Canopy -10' x 10', Blue","Production Supplies","30","c56f9959-0ea2-4b12-a026-7172fcee8f76"
"Caravan Canopy - 8' x '8 Tent, White","Production Supplies","ccf1e14f-16ee-4ce6-9e84-01ac5d1b3a99","0","75","isActive=true","isActive=false (archived)","Caravan Canopy - 8' x 8', White","Production Supplies","25","2e9624aa-e779-408b-a25b-7fd0373514aa"
"4' Folding Table","Production Supplies","6dfae03c-ac14-4841-9cef-44b019b320f6","0","15","isActive=true","isActive=false (archived)","Table, 4' Folding","Tables & Chairs","5","24ee9c43-eac3-4174-a868-bf74a6811848"
"6' Folding Table","Production Supplies","2945bdf5-a0e6-49b1-b214-2d75d762c076","0","18","isActive=true","isActive=false (archived)","Table, 6' Folding","Tables & Chairs","6","d3a062f8-0cae-4296-8a4a-6d883a14d811"
"8' Folding Table","Production Supplies","69c539db-12ae-4a3b-87f9-b0d994508d23","0","21","isActive=true","isActive=false (archived)","Table, 8' Folding","Tables & Chairs","7","455f7b7c-8eaf-4f1a-a1d3-1e9635c43f91"
"Personal Folding Table","Production Supplies","227816b6-79ca-4b2e-943f-97af4fb45688","0","12","isActive=true","isActive=false (archived)","Table, 2' Folding (Personal)","Tables & Chairs","4","13e1b064-bf10-46b9-9d9a-d4cb2f4fb3af"
"UTAH - 6' TABLE LINEN, BLACK","Production Supplies","31e673e3-7929-488a-ab0e-3a88ae8aaef6","0","15","isActive=true","isActive=false (archived)","6' Table Linen (Black)","Tables & Chairs","5","76944b7a-54a3-4057-9015-3e04eef6d12f"
"6' Table Linen - White","Production Supplies","185451fa-f727-45c1-a600-45818bba8cfe","0","15","isActive=true","isActive=false (archived)","6' Table Linen (White)","Tables & Chairs","5","eee6b84a-f2a1-4542-8719-7a202bb1ce58"
"50' Garden Hose","Production Supplies","44c4d6a4-aebf-4569-8cab-21972d58e9b2","0","22.5","isActive=true","isActive=false (archived)","Hose, 50' garden","Climate Controls","7.5","27a97365-2aef-4bc9-9123-253fe8de3a6b"
"6' Wardrobe Mirror","Production Supplies","bfe88ce9-73bd-4c10-9de3-11cd93ab4c3f","0","37.5","isActive=true","isActive=false (archived)","Mirror, 6' Wardrobe","Wardrobe & Makeup","12.5","181b5d94-4258-4573-a026-c354cd2145b9"
"Butt Cans","Production Supplies","76523cb7-0af2-4fcc-8e42-181f3e3d6d3b","0","6","isActive=true","isActive=false (archived)","Butt Cans","Basecamp Basics","2","0acce38f-8723-4ab6-b8ca-59b1fc410814"
"Furniture Pads","Production Supplies","234fe866-46aa-4445-a9ba-582d9812bdc4","0","6","isActive=true","isActive=false (archived)","Furniture Pads","Basecamp Basics","2","1f146c12-78a9-4410-a84b-3d89de59dc13"
"MEDIUM TARP","Production Supplies","af5d2d92-1784-4812-9dba-6ffcd933791b","0","15","isActive=true","isActive=false (archived)","Tarp, Medium","Basecamp Basics","5","9be6faa1-6622-4ae0-92e9-287b169709b8"
"Barricade with Lights","Lighting Equipment","ebe6d800-28ea-4b4f-910b-8da89d5af94e","0","15","isActive=true","isActive=false (archived)","Barricades w/Lights","Safety & Traffic","5","29b8313b-30a0-46ea-a585-18f992124140"
"Bolt Cutter","Grip Equipment","94c183e0-f65a-4517-80ca-0ab181474489","0","30","isActive=true","isActive=false (archived)","Bolt Cutter","Tools & Cleaning","10","e53d0d17-fbd0-4777-9bbf-3fbe440f1a2b"
"Fan - Box","Production Supplies","2ad1e28e-ad0f-44ac-a909-80de74dbfc5f","0","18","isActive=true","isActive=false (archived)","Fan, ""Box""","Climate Controls","6","c02df3c9-0e3c-4f95-9331-18926a2c5295"
"Umbrella - Golf","Production Supplies","637825d6-723e-4634-8099-fb6b1e34958f","0","10.5","isActive=true","isActive=false (archived)","Umbrella, Golf","Climate Controls","3.5","b6fbfb68-e392-4657-8950-c10667353f86"
"Hand Mics","Production Supplies","6efeceda-ddd9-49af-b6fb-cfd69f27d081","0","9","isActive=true","isActive=false (archived)","Hand Mics","Communications","3","9b7e028b-c71a-480e-b13a-8c631dc216f9"
