name,category,id,dailyRate,weeklyRate,includedFree,publicVisible
#2 GRIP CLIP,Grip Equipment,d30c7cef-7f7b-4c62-9a66-a46fe1d83ea1,0,3,False,False
#3 GRIP CLIP,Grip Equipment,40127b1a-df65-4496-841c-c3075b045aee,0,4,False,False
"1 1/4"" SPEEDRAIL CORNER",Production Supplies,9d6895f6-b18d-473f-8d6b-3c469c6f891f,0,7,False,False
"1"" SQUARE COUPLER",Production Supplies,e27c1a4d-d9be-4c04-986c-99d03ccc959d,0,6,False,False
"1"" SQUARE EAR",Production Supplies,5b54c6fc-3424-467f-84ab-6235d8b6bfa0,0,7,False,False
"1""SQUARE CORNER",Production Supplies,09792760-5c5c-45b6-a210-f661ace75dd3,0,5,False,False
"1' SPEEDRAIL PIPE 1-1/4""",Grip Equipment,95b159ed-a8cf-4c56-b007-f9d060f19438,0,2,False,False
10' DMX 5-PIN CABLE,Electrical Equipment,c61fc72c-6311-467b-a7b8-5e8827cc99fe,0,8,False,False
10' DOLLY TRACK SECTION (STEEL),Production Supplies,2ead7827-703c-4355-b4f9-eac660822d5f,0,33,False,False
"10' SPEEDRAIL PIPE 1-1/4""",Grip Equipment,a2e28a97-cf3c-49e6-9953-5f6e311fddb0,0,11,False,False
100' DMX 5-PIN CABLE,Electrical Equipment,b4a336d1-cd9a-438f-8b86-a73a856fa069,0,17,False,False
100A 220V BATES CABLE EXTENSION 25',Electrical Equipment,74dd0bb8-e88d-4c76-bf8e-9bd9bc136b9e,0,17,False,False
100A 220V BATES CABLE EXTENSION 50',Electrical Equipment,62627b1a-3beb-495f-bfb4-baf7236cdf64,0,22,False,False
100A BATES CABLE EXTENSION 100',Electrical Equipment,8169611e-583c-4d2e-916e-d05ddf547b32,0,26,False,False
100A BATES CABLE EXTENSION 25',Electrical Equipment,0993ac73-cd40-4657-9cd7-6628c9299650,0,17,False,False
100A BATES CABLE EXTENSION 50',Electrical Equipment,69016f85-512c-4ffa-ac10-2f8ede9aca52,0,22,False,False
SUMO HEAD BI COLOR LED,Lighting Equipment,127dce10-4158-4bc9-b4f3-abe21ae21ef7,0,375,False,False
FLUOTEC STUDIO 120 HEAD,Lighting Equipment,5ce48035-45fa-46cd-a8fc-a31bb0ce791d,0,0,False,False
"VEGALUX 300 10"" BI-COLOR",Lighting Equipment,3d23e0b8-1a19-468b-b9cc-e36990bff60d,0,0,False,False
Dewalt - Flexvolt Charger,Electrical Equipment,52312d52-58f0-40f2-8d80-a290e51ceb08,0,0,False,False
Dewalt - Flexvolt Charger (Dual),Electrical Equipment,aab55123-a22d-4db1-bf27-005b6f66ecb0,0,0,False,False
KINO - 4 BANK BALLAST,Lighting Equipment,cecdd5fb-5910-4eb4-aa05-001c35436be4,0,0,False,False
MINI MOLE HEAD - TYPE 2801 - INKIE,Production Supplies,ef4a6b01-7d7a-4cfa-ba41-68542d7938f1,0,33,False,False
BABY 2K  MOLE HEAD,Lighting Equipment,96e781a2-de3f-4191-81f2-1261e722d5ea,0,0,False,False
"2K 8"" JUNIOR MOLE HEAD",Lighting Equipment,dd5cef3c-acf4-4696-9804-a2e5ebec1e2f,0,0,False,False
MIDGET MOLE 200W HEAD - TYPE 2351,Production Supplies,a3248cc8-3109-4e6a-9b6c-0896073981a7,0,33,False,False
1K MICKEY MOLE HEAD - TYPE 4081,Lighting Equipment,5034822f-b86c-4c06-81dc-3190f55ff996,0,43,False,False
MOLEPAR 1K HEAD - TYPE 2271,Lighting Equipment,89a63dd2-c75e-417d-a184-fadd49a3641e,0,43,False,False
2K MIGHTY MOLE HEAD - TYPE 4091,Lighting Equipment,90b711f4-b87d-4947-a3ee-b28d41582f15,0,0,False,False
BABY 10K  MOLE HEAD,Lighting Equipment,e1f4ffab-0b6c-4d2a-925b-a903cb26130e,0,0,False,False
"2K BABY ""ZIP"" SOFTLITE",Lighting Equipment,06d16505-7f07-4180-b7c9-cd8f4bd892e2,0,0,False,False
1K PARCAN 64,Lighting Equipment,82be49d7-c3ce-4b0c-94f5-c93f54b84352,0,0,False,False
ARRI SKYPANEL S60/S120 - PSU,Lighting Equipment,2c173baa-37c5-47af-ba26-1d88a05d0829,0,0,False,False
"QUARTZ SPEED RING 10""",Lighting Equipment,680c8ede-4dc4-48bd-a5d7-9b256f02879a,0,0,False,False
ARRI 300W HEAD,Lighting Equipment,32bee330-c2ad-41d2-9336-36396d397d37,0,33,False,False
2K VARIAC (AC) DIMMER,Lighting Equipment,ba566bb4-c659-4534-a347-021d61525c14,0,30,False,False
"4K BABY ""ZIP"" SOFTLITE",Lighting Equipment,57bae277-2f3f-40f8-a865-b581498e7d1b,0,0,False,False
KINO FLO IMAGE 87 COMPLETE,Lighting Equipment,fe47baa1-22f0-4bc6-9a31-cc9d7d925364,0,0,False,False
750W ARRI LITE PLUS OPEN FACE,Lighting Equipment,2dfa3ed8-f6dc-48a7-8834-9ee3b2f72d90,0,43,False,False
"1K BABY ""ZIP"" SOFTLITE",Lighting Equipment,7b29de40-b157-438d-a00f-d8886ebc48fe,0,0,False,False
5K SKYPAN OPEN FACE,Lighting Equipment,408f9a32-c63c-46f0-93a0-476249a9e197,0,0,False,False
ASTERA BOX - ART7 RX/TX,Lighting Equipment,8c481d14-20f3-454c-8c68-543afc1d745c,0,0,False,False
LITEMAT 2 SERIES 2 COMPLETE,Production Supplies,608a1d25-9724-423e-be93-762ae7ddc210,0,165,False,False
LITEMAT 4  SERIES 2 COMPLETE,Production Supplies,223ed9bf-4366-4bb7-ac75-6a0d464a6a29,0,200,False,False
LITEMAT 4 PLUS HYBRID COMPLETE,Production Supplies,e4814f39-acb4-43a3-b693-fb1d62780c05,0,375,False,False
6K SPACE LIGHT (SOCAPEX) HEAD,Electrical Equipment,368e8668-1405-4c91-9c5d-ca38b6c45f01,0,161,False,False
STIRRUP HANGER 5' TO 10',Production Supplies,b94b7160-fba2-4b0b-a465-8b3d0bbb1525,0,22,False,False
