include,name,category,department,dailyRate,proposed_code,rw_code,source_pdf,rw_section,reason
INCLUDE,"SOFA - COSMOPOLITAN, BLACK 7' x 35""",Basecamp Basics,PRO_SUPPLIES,466.0,SOFACOSMO,SOFACOSMO,rental,BASECAMP - Base Camp,
INCLUDE,SOLO Line - Sofa,Basecamp Basics,PRO_SUPPLIES,200.0,SOLOS,SOLOS,rental,BASECAMP - Base Camp,
INCLUDE,Standard 1 Line -Sofa,Basecamp Basics,PRO_SUPPLIES,125.0,PROD47,PROD47,rental,BASECAMP - Base Camp,
INCLUDE,Standard 2 Line -Sofa,Basecamp Basics,PRO_SUPPLIES,125.0,PROD54,PROD54,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape - BlackVelour - 10'H x 10'W,Basecamp Basics,PRO_SUPPLIES,90.0,10BVD,10BVD,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Red Velour -10' H x 10'W,Basecamp Basics,PRO_SUPPLIES,90.0,10HRV,10HRV,rental,BASECAMP - Base Camp,
INCLUDE,Standard 1 Line -Love Seat,Basecamp Basics,PRO_SUPPLIES,75.0,PROD44,PROD44,rental,BASECAMP - Base Camp,
INCLUDE,Standard 2 Line -Love Seat,Basecamp Basics,PRO_SUPPLIES,75.0,PROD52,PROD52,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Black Drape 22'wide x 10'Tall,Basecamp Basics,PRO_SUPPLIES,50.0,PD2210,PD2210,rental,BASECAMP - Base Camp,
INCLUDE,Go Jacks -Car Dolly,Basecamp Basics,PRO_SUPPLIES,50.0,PROD82,PROD82,rental,BASECAMP - Base Camp,
INCLUDE,SOLO Line - Single Chair,Basecamp Basics,PRO_SUPPLIES,50.0,SOLOSC,SOLOSC,rental,BASECAMP - Base Camp,
INCLUDE,Fold ItCart w/ Beach Wheels,Basecamp Basics,PRO_SUPPLIES,40.0,FOLDITBEAC,FOLDITBEAC,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Black Drape 12'wide x 10'Tall,Basecamp Basics,PRO_SUPPLIES,27.0,PD1010,PD1010,rental,BASECAMP - Base Camp,
INCLUDE,SOLO Line - End Table (Each),Basecamp Basics,PRO_SUPPLIES,20.0,SOLOET,SOLOET,rental,BASECAMP - Base Camp,
INCLUDE,UMBRELLA WITH STAND,Basecamp Basics,PRO_SUPPLIES,17.5,810510,810510,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Black Drape 8'wide x 8'Tall,Basecamp Basics,PRO_SUPPLIES,17.0,88DRAPE,88DRAPE,rental,BASECAMP - Base Camp,
INCLUDE,OfficeChair,Basecamp Basics,PRO_SUPPLIES,15.0,CHAIRO,CHAIRO,rental,BASECAMP - Base Camp,
INCLUDE,"Laundry Tub/Cart - 52"" x 37"" x36""",Basecamp Basics,PRO_SUPPLIES,15.0,LAUNDRY,LAUNDRY,rental,BASECAMP - Base Camp,
INCLUDE,Worklight- LED,Basecamp Basics,PRO_SUPPLIES,15.0,WLHUSKY,WLHUSKY,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Upright,Basecamp Basics,PRO_SUPPLIES,14.0,PDUR,PDUR,rental,BASECAMP - Base Camp,
INCLUDE,"Table -30"" Round Cocktail 42"" Height",Basecamp Basics,PRO_SUPPLIES,13.0,TABLECT30,TABLECT30,rental,BASECAMP - Base Camp,
INCLUDE,Loco Mat -3' x10',Basecamp Basics,PRO_SUPPLIES,10.0,LC310,LC310,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Spreader,Basecamp Basics,PRO_SUPPLIES,10.0,PDS,PDS,rental,BASECAMP - Base Camp,
INCLUDE,Standard 1 Line -Floor Lamp,Basecamp Basics,PRO_SUPPLIES,10.0,PROD43,PROD43,rental,BASECAMP - Base Camp,
INCLUDE,Standard 2 Line -Floor Lamp,Basecamp Basics,PRO_SUPPLIES,10.0,PROD51,PROD51,rental,BASECAMP - Base Camp,
INCLUDE,"Dolly- Appliance ""Refrigerator""",Basecamp Basics,PRO_SUPPLIES,10.0,PROD80,PROD80,rental,BASECAMP - Base Camp,
INCLUDE,"4' x8' x 1/2""Plywood Rental",Basecamp Basics,PRO_SUPPLIES,10.0,PW12,PW12,rental,BASECAMP - Base Camp,
INCLUDE,Standard 1 Line - Table Lamp,Basecamp Basics,PRO_SUPPLIES,10.0,STAND1TL,STAND1TL,rental,BASECAMP - Base Camp,
INCLUDE,Pipe & Drape -Base,Basecamp Basics,PRO_SUPPLIES,9.0,PDB,PDB,rental,BASECAMP - Base Camp,
INCLUDE,Director'sChair - Tall(Camera Ready),Basecamp Basics,PRO_SUPPLIES,7.0,DCTCR,DCTCR,rental,BASECAMP - Base Camp,
INCLUDE,SMALL TARP,Basecamp Basics,PRO_SUPPLIES,5.0,623201,623201,rental,BASECAMP - Base Camp,
INCLUDE,"Dolly- Furniture (4W)- HD (19"" x 32""), 1000lbs",Basecamp Basics,PRO_SUPPLIES,5.0,DOLLYH,DOLLYH,rental,BASECAMP - Base Camp,
INCLUDE,8'Table Linen -White,Basecamp Basics,PRO_SUPPLIES,5.0,LINENW8,LINENW8,rental,BASECAMP - Base Camp,
INCLUDE,Director'sChair - Medium,Basecamp Basics,PRO_SUPPLIES,5.0,MEDIUMDIRE,MEDIUMDIRE,rental,BASECAMP - Base Camp,
INCLUDE,"SIGN - BASECAMP 18"" X 24""",Basecamp Basics,PRO_SUPPLIES,5.0,SIGNBC,SIGNBC,rental,BASECAMP - Base Camp,
INCLUDE,"SIGN - CREW PARKING 18"" X 24""",Basecamp Basics,PRO_SUPPLIES,5.0,SIGNCP,SIGNCP,rental,BASECAMP - Base Camp,
INCLUDE,"SIGN - TO SET 18"" X 24""",Basecamp Basics,PRO_SUPPLIES,5.0,SIGNTOSET,SIGNTOSET,rental,BASECAMP - Base Camp,
INCLUDE,Script Pouch,Basecamp Basics,PRO_SUPPLIES,3.5,SCRIPT,SCRIPT,rental,BASECAMP - Base Camp,
INCLUDE,The DC Table,Basecamp Basics,PRO_SUPPLIES,3.0,THEDCTABLE,THEDCTABLE,rental,BASECAMP - Base Camp,
INCLUDE,STUDIO AIR -25TON A/C (220VOLT /125AMPS/3PHASE),Climate Controls,PRO_SUPPLIES,1350.0,STUDIOAIR2,STUDIOAIR2,rental,ADDON - Stage Add on,
INCLUDE,STUDIO -25TON HVAC -480V 3 PHASE,Climate Controls,PRO_SUPPLIES,1300.0,25HVAC,25HVAC,rental,ADDON - Stage Add on,
INCLUDE,STUDIO -5TON AC (SINGLE PHASE -48 AMPS),Climate Controls,PRO_SUPPLIES,750.0,5TON-AC,5TON-AC,rental,ADDON - Stage Add on,
INCLUDE,GENERATOR REFUEL ($9.50 PER GALLON),Climate Controls,PRO_SUPPLIES,725.0,HVACREFUEL,HVACREFUEL,rental,ADDON - Stage Add on,
INCLUDE,STUDIO AIR -ULTRA SILENT 500 AMP GENERATOR,Climate Controls,PRO_SUPPLIES,400.0,STUDIO500,STUDIO500,rental,ADDON - Stage Add on,
INCLUDE,PORTACOOLER,Climate Controls,PRO_SUPPLIES,350.0,PORTACOOLE,PORTACOOLE,rental,SEASONAL - Seasonal,
INCLUDE,STUDIO -65 KVA GENERATOR,Climate Controls,PRO_SUPPLIES,325.0,65KVA,65KVA,rental,ADDON - Stage Add on,
INCLUDE,Heater - LB80,Climate Controls,PRO_SUPPLIES,130.0,HEATERPROP,HEATERPROP,rental,SEASONAL - Seasonal,
INCLUDE,STUDIO AIR -W/ GERMICIDAL UV-C LIGHT,Climate Controls,PRO_SUPPLIES,55.0,GERMICIDAL,GERMICIDAL,rental,ADDON - Stage Add on,
INCLUDE,10 Gallon Mister,Climate Controls,PRO_SUPPLIES,55.0,MISTER10,MISTER10,rental,SEASONAL - Seasonal,
INCLUDE,STUDIO -SET 50'#2 BANDED CABLE,Climate Controls,PRO_SUPPLIES,42.0,BANDED50,BANDED50,rental,ADDON - Stage Add on,
INCLUDE,STUDIO AIR -MERV 13 FILTER,Climate Controls,PRO_SUPPLIES,35.0,MERV13,MERV13,rental,ADDON - Stage Add on,
INCLUDE,UTAH -HEATER - DOLLY HEATER,Climate Controls,PRO_SUPPLIES,35.0,UHEATPRO,UHEATPRO,rental,SEASONAL - Seasonal,
INCLUDE,"STUDIO -DUCTING 20"" x 25' (WHITE)",Climate Controls,PRO_SUPPLIES,26.0,DUCT25,DUCT25,rental,ADDON - Stage Add on,
INCLUDE,STUDIO AIR -CABLE CROSS OVERS (BILLED AS USED),Climate Controls,PRO_SUPPLIES,20.0,SACC,SACC,rental,ADDON - Stage Add on,
INCLUDE,"STUDIO -WATER HOSE 25'x 3/4""",Climate Controls,PRO_SUPPLIES,6.5,WATERHOSE,WATERHOSE,rental,ADDON - Stage Add on,
INCLUDE,"STARLINK - MINI (UNLIMITED DATA), AC POWERED",Communications,COMMUNICATIONS,175.0,STARLINKMI,STARLINKMI,rental,INTERNET - Internet Routers,
INCLUDE,"5G WirelessInternet,MiFiHotspot (Verizon)",Communications,COMMUNICATIONS,120.0,5GVERIZON,5GVERIZON,rental,INTERNET - Internet Routers,
INCLUDE,"INTERNET - 5G CUBE, VERIZON (UNLIMITED DATA)",Communications,COMMUNICATIONS,120.0,INT5G,INT5G,rental,INTERNET - Internet Routers,
INCLUDE,"UTAH -WIRELESS INTERNET, MIFI",Communications,COMMUNICATIONS,99.0,UMIFIV,UMIFIV,rental,INTERNET - Internet Routers,
INCLUDE,"Repeater w/Antenna, Cable and Tripod",Communications,COMMUNICATIONS,40.0,COMM10,COMM10,rental,REPEATER - Repeater,
INCLUDE,"Konftel -""ROCC"" Conf. Call Speaker",Communications,COMMUNICATIONS,25.0,ROCC,ROCC,rental,SPEAKERS - Boombox & Speakers,
INCLUDE,RollingWardrobe Z-Rack,Communications,COMMUNICATIONS,16.5,ZRACK,ZRACK,rental,WALKIES - Walkies,
INCLUDE,Noise CancelllingHeadset,Communications,COMMUNICATIONS,15.0,NCHS,NCHS,rental,WALKIES - Walkies,
INCLUDE,Motorola CP200 UHF Radio (Sub),Communications,COMMUNICATIONS,10.0,CP200S,CP200S,rental,WALKIES - Walkies,
INCLUDE,UTAH -IRON,Communications,COMMUNICATIONS,7.0,UIRON,UIRON,rental,WALKIES - Walkies,
INCLUDE,"Wardrobe Hanger 17"" Clear,Combo - Each",Communications,COMMUNICATIONS,1.0,HANGERC,HANGERC,rental,WALKIES - Walkies,
INCLUDE,"Rosco V-Hazer Fluid,4 literJug",Effects,GE,92.5,RVHAZER,RVHAZER,sales,EXPEND - Expendables,
INCLUDE,"DF50 Hazer Fluid, 1 Gallon",Effects,GE,84.0,DF50FLUID,DF50FLUID,sales,EXPEND - Expendables,
INCLUDE,Rosco V-Hazer Fluid,Effects,GE,60.0,RVHF,RVHF,rental,ART-ZBOOM - ARTICULATING OR Z BOOMS,
INCLUDE,1800 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,1100.0,1800AMP,1800AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,1600 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,1045.0,1600AMP,1600AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,1400 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,990.0,1400AMP,1400AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,1200 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,962.5,1200AMP,1200AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,1000 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,935.0,1000AMP,1000AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,750 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,907.5,750AMP,750AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,600 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,852.5,600AMP,600AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,MOXION - BATTERY STORAGE,Electrical Equipment,GE,850.0,MOXION,MOXION,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,500 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,797.5,500AMP,500AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,400 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,715.0,400AMP,400AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,CRLS 100 KIT,Electrical Equipment,GE,700.0,CRLS100,CRLS100,rental,LDISTRO - LIGHTING DISTRIBUTION,
INCLUDE,350 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,660.0,350AMP,350AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,225 AMP GENERATOR TOW PLANT,Electrical Equipment,GE,577.5,225AMP,225AMP,rental,LGENERATOREXTENSION - LIGHTINGCABLEGENERATOR UNIT,
INCLUDE,ORION 675FS,Electrical Equipment,GE,425.0,ORION675,ORION675,rental,LDISTRO - LIGHTING DISTRIBUTION,
INCLUDE,SPIITTER 60 260 amp,Electrical Equipment,GE,375.0,60260,60260,rental,POWER - Power & Distro,
