action,bucket,hq_id,hq_code,hq_description,old_daily,new_daily,weekly_unchanged,rw_source_codes,match_type,match_score,corroboration,note
SET_DAILY,A,e4814f39-acb4-43a3-b693-fb1d62780c05,104510,LITEMAT 4 PLUS HYBRID COMPLETE,0.0,375.0,375.0,LM4PLUS,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,bd402947-bd36-44e6-b8f5-c503b84ace2e,SUMO- BALLAST,SUMO- BALLAST,0.0,375.0,375.0,SBCLB,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,f1836fb1-d558-4a83-9841-2624dcdb6d0e,SUMO- POWER FEEDER,SUMO- POWER FEEDER,0.0,375.0,375.0,SBPF,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,7dc90c47-6612-4504-a409-628ecfcf1e22,SUMO- CHAIN LINK,SUMO- CHAIN LINK,0.0,375.0,375.0,SCL,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,127dce10-4158-4bc9-b4f3-abe21ae21ef7,102944,SUMO HEAD BI COLOR LED,0.0,375.0,375.0,SHBHEAD,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,cc8e181c-bf05-46c6-89bf-0898d3a85bfa,SUMO HEAD FEEDER,SUMO HEAD FEEDER,0.0,375.0,375.0,SHF,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,b442f82d-ecb4-49ac-a653-383bb5ab5eca,SUMO LENS 30 DEGREE,SUMO LENS 30 DEGREE,0.0,375.0,375.0,SL30,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,5fd291c3-0329-4eb6-ad28-2ba480e05b40,SUMO LIGHTR SKIRT,SUMO LIGHTR SKIRT,0.0,375.0,375.0,SLS,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,3808242f-2602-4eed-803e-7ea26c61b1fd,104534,ASTRA 1X1 BI-COLOR - LITEPANEL,0.0,250.0,250.0,145085,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,f3bc23ea-f0b6-4158-86cf-750ad1927b47,9 LIGHT MAXIBRUTE HEAD,9 LIGHT MAXIBRUTE HEAD,0.0,200.0,200.0,141721,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,223ed9bf-4366-4bb7-ac75-6a0d464a6a29,104509,LITEMAT 4  SERIES 2 COMPLETE,0.0,200.0,200.0,LM4SPEC2,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,71509969-14e6-4bb0-b9f8-734fbf673fd3,104543,125/200W LTM PAR HEAD,0.0,188.0,188.0,121905,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,2737ffad-bca6-417c-a143-fa8d4a09d1b3,104518,KINO CELEB 200,0.0,175.0,175.0,145110,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,608a1d25-9724-423e-be93-762ae7ddc210,104508,LITEMAT 2 SERIES 2 COMPLETE,0.0,165.0,165.0,LM2S2,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,368e8668-1405-4c91-9c5d-ca38b6c45f01,104511,6K SPACE LIGHT (SOCAPEX) HEAD,0.0,161.0,161.0,6KSLH,exact-description,1.0,weekly==rw_daily,
SET_DAILY,A,8866266e-357f-492a-8268-b2a2f658e345,12' X 30' SOLID BLACK RAG,12' X 30' SOLID BLACK RAG,0.0,150.0,150.0,1230SBR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,0b8112f7-c677-4181-b84b-c12d7a03176f,9 LIGHT FAY HEAD - TYPE 5541,9 LIGHT FAY HEAD - TYPE 5541,0.0,135.0,135.0,141931,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,bc7d007c-f7ef-4e8a-8ce4-312a4ae88c44,20' X 20' DOUBLE NET RAG,20' X 20' DOUBLE NET RAG,0.0,125.0,125.0,2020DNR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,76208f2b-428b-441d-8f6f-5c2306343af8,20' X 20' FULL GRID RAG (NOISY),20' X 20' FULL GRID RAG (NOISY),0.0,125.0,125.0,2020FGRN,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,d0e287ee-48a5-44f1-adeb-6c912304468a,20' X 20' LITE (1/2) GRID CLOTH RAG,20' X 20' LITE (1/2) GRID CLOTH RAG,0.0,125.0,125.0,2020HGR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,5d1d3b35-b29a-49b3-9fe9-80a582075f15,20' X 20' QUARTER GRID CLOTH RAG,20' X 20' QUARTER GRID CLOTH RAG,0.0,125.0,125.0,2020QGR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,32ebba6b-98e4-4e6f-8f15-2f001615a0eb,20' X 20' SOLID BLACK RAG,20' X 20' SOLID BLACK RAG,0.0,125.0,125.0,2020SBR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,4a85d3ae-e8c0-4493-aabe-3aa024c6cc41,20' X 20' SINGLE NET RAG,20' X 20' SINGLE NET RAG,0.0,125.0,125.0,2020SNR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,a92ce565-c5df-4bf2-8418-4c5734ad7d73,20' X 20' ULTRABOUNCE RAG,20' X 20' ULTRABOUNCE RAG,0.0,125.0,125.0,2020UBR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,996ed7d8-e581-44cb-a40e-055ef1bd1b4b,6' X 6' EGGCRATE - 40 DEG. LCD,6' X 6' EGGCRATE - 40 DEG. LCD,0.0,125.0,125.0,6640LCD,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,a3596362-6814-46fa-a461-1d12cb2fe5fe,8' X 8' EGGCRATE - 40 DEG. LCD,8' X 8' EGGCRATE - 40 DEG. LCD,0.0,125.0,125.0,8840LCD,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,5172cd11-8630-4dec-822b-c6d609fd5d65,12' X 20' FULL GRID RAG,12' X 20' FULL GRID RAG,0.0,110.0,110.0,1220FGR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,18f2fbab-ae9d-4fb9-a254-3f15c1baa324,12' X 20' LITE (1/2) GRID RAG,12' X 20' LITE (1/2) GRID RAG,0.0,110.0,110.0,1220HGR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,faa8451c-d427-4ed7-92d5-f492be4edc78,12' X 20' QUARTER GRID RAG,12' X 20' QUARTER GRID RAG,0.0,110.0,110.0,1220QGR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,22b5c8ee-1f15-4bd3-b2d9-077e32e3f9a9,12' X 20' SOLID BLACK RAG,12' X 20' SOLID BLACK RAG,0.0,100.0,100.0,1220SBR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,1bfb3bb6-10f0-451c-a065-3a1639310747,12' X 20' ULTRABOUNCE RAG,12' X 20' ULTRABOUNCE RAG,0.0,100.0,100.0,1220UBR,exact-code,1.0,weekly==rw_daily,
SET_DAILY,A,2f9fdceb-1e01-43a4-8991-3cc3115b9b1f,ARRI SKYPANEL S60 CONTROL GRID 40 DEGREE MED,ARRI SKYPANEL S60 CONTROL GRID 40 DEGREE MED,0.0,100.0,100.0,ASS6040DEG,exact-code,1.0,weekly==rw_daily,
