action,hq_id,code,description,from_category,to_category_id,approved_by
CREATE_CATEGORY,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,client-vip,Client/VIP (sortOrder 19),,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,6b0e8341-ba9a-4f3c-9709-ec48e45e4b87,BARSTOOLB,Bar StoolLow Back (BlackLeather),production-supplies,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,f6f49a5f-8671-4197-83b8-14f338e05656,TAB-CLIENT-LOUNGE-SOLO-LINE,"Client Lounge, SOLO Line",tables-chairs,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,80ea1b93-3e81-47a4-af62-5925dd4a2fe7,TAB-CLIENT-LOUNGE-STANDARD,"Client Lounge, Standard",tables-chairs,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,fbb6d7e4-9f5a-409a-8e3f-1af0d5559e62,PSTOOLR,"POSING STOOL, ROLLING",production-supplies,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,ff09f41f-fe2f-47e2-9d83-73f1353cca3b,10BVD,Pipe & Drape - BlackVelour - 10'H x 10'W,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,1b63bea1-c43a-460f-9560-2b06ef89dd36,PDB,Pipe & Drape -Base,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,7792c755-98bb-4180-aa9e-6850a7e858f2,PD1010,Pipe & Drape -Black Drape 12'wide x 10'Tall,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,59f24b5d-dfa8-477c-bef3-a44f39f3dfe7,PD2210,Pipe & Drape -Black Drape 22'wide x 10'Tall,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,f0a4de2c-29a5-4603-93e0-f144eb9a5aa8,88DRAPE,Pipe & Drape -Black Drape 8'wide x 8'Tall,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,6e7a44ac-37a7-4068-ac68-5fcae17a223b,10HRV,Pipe & Drape -Red Velour -10' H x 10'W,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,314d08e5-c3cc-4de4-880b-fa9efb36a6c2,PDS,Pipe & Drape -Spreader,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,c9e9e56d-5518-428d-92c8-43ad80a93121,PDUR,Pipe & Drape -Upright,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,2b05564c-1a52-4a1a-9346-d62d95806830,SOFACOSMO,"SOFA - COSMOPOLITAN, BLACK 7' x 35""",basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,11d31b87-defc-4845-aaec-8239a6461ea2,SOLOET,SOLO Line - End Table (Each),basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,201c1085-214f-491d-a070-f5883d42dc14,SOLOSC,SOLO Line - Single Chair,basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,75cccd5e-dbbf-4aa8-8f5a-7f56070d1528,SOLOS,SOLO Line - Sofa,basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,e9dcd5fe-f2f5-42eb-ad53-40d12ecd6ed5,SOLOCT,SOLO Line- CoffeeTable,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,a8b27e7a-c9d3-4113-85ac-42ea1a490136,SOLOFL,SOLO Line- FloorLamp,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,63d45a48-84cf-42cc-a45b-c367c0a02dc6,SOLOR,SOLO Line- Rug,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,0b03d08a-79d1-4665-8311-eeb531776d30,SOLOTL,SOLO Line- TableLamp (Each),grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,f50d607d-3700-4e0a-8db1-387e7985c3a8,STAND1TL,Standard 1 Line - Table Lamp,basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,245dec79-6e85-414f-9147-bbe706ad50d3,STAND1CT,Standard 1 Line -Coffee Table,grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,5b5b8fba-954e-4d2f-8a18-fa699e1cf69d,STAND1ET,Standard 1 Line -End Table (Each),grip-equipment,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,71ff0d84-272b-41f2-b26d-5f660631952d,PROD43,Standard 1 Line -Floor Lamp,basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
MOVE_CATEGORY,f3020314-f8df-41c6-93cb-1cefce0b896e,PROD44,Standard 1 Line -Love Seat,basecamp-basics,362f6bb4-f5ee-4e9b-8f12-b8db3da20b78,Wes 2026-07-05
