action,hq_id,code,description,category,approved_by
SET_PUBLIC_VISIBLE_FALSE,caa23413-c445-43eb-8733-b52a910b3ba1,HEA-NON-CONTACT-THERMOMETER,Non-Contact Thermometer,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,41034661-109a-4502-86a1-2e5db84e50a0,HEA-PAPER-WRISTBANDS-10PK-BLUE,Paper Wristbands (10pk) - Blue,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,43cd9963-522b-4e44-b766-09783094080a,HEA-PAPER-WRISTBANDS-10PK-ORANGE,Paper Wristbands (10pk) - Orange,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,1a0dcbe3-a814-45aa-a618-6bdbcb082a14,HEA-PAPER-WRISTBANDS-10PK-PINK,Paper Wristbands (10pk) - Pink,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,b3ebbbec-8e2d-4ded-9d23-4ae30095bc5f,HEA-PAPER-WRISTBANDS-10PK-RED,Paper Wristbands (10pk) - Red,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,49ef1375-a5f0-4502-82b4-54270cbb6ab0,HEA-PAPER-WRISTBANDS-10PK-YELLOW,Paper Wristbands (10pk) - Yellow,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,6f22d933-3659-430d-8eec-fd8b11f8f900,HEA-SAFE-SETS-SIGNAGE-PACK,Safe Sets Signage Pack,health-safety,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,e38d9a1d-6109-4a87-aaac-ff6f6f5f7bf2,PPE-70-ALCOHOL-WIPE,70% Alcohol Wipe,ppe,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,d296b746-15be-42ce-ab7e-8a996bb8ef03,PPE-ANTISEPTIC-TOWELETTES-100PK,Antiseptic Towelettes (100pk),ppe,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,69a61b26-998c-4de6-9c27-9052c6f7cc7f,PPE-BLACK-KN95-FACE-MASK-10PK,Black KN95 Face Mask (10pk),ppe,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,29b0a1e1-c76d-4406-b6ca-c7cbc872c791,PPE-DISINFECTANT-LIQUID,Disinfectant Liquid,ppe,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,1cf6c513-72b8-49dd-8e93-2678d2b78b18,PPE-DISINFECTANT-SPRAY,Disinfectant Spray,ppe,Wes 2026-07-05 (hide covid-era stock)
SET_PUBLIC_VISIBLE_FALSE,142eb64f-dc40-40f4-a480-592c2f210efc,PPE-DISPOSABLE-FACE-MASKS-50PK,Disposable Face Masks (50pk),ppe,Wes 2026-07-05 (hide covid-era stock)
