bucket,rw_source,rw_item_code,rw_description,rw_price_daily,rw_category,match_type,match_score,hq_id,hq_code,hq_rw_icode,hq_description,hq_daily_rate,hq_weekly_rate,hq_included_free,hq_category
A,rental,LM4PLUS,LITEMAT 4PLUS HYBRID COMPLETE,375.0,LDISTRO - LIGHTING   DISTRIBUTION,exact-description,1.0,e4814f39-acb4-43a3-b693-fb1d62780c05,104510,104510,LITEMAT 4 PLUS HYBRID COMPLETE,0.0,375.0,False,Production Supplies
A,rental,SBCLB,SUMO- BALLAST,375.0,,exact-code,1.0,bd402947-bd36-44e6-b8f5-c503b84ace2e,SUMO- BALLAST,,SUMO- BALLAST,0.0,375.0,False,Lighting Equipment
A,rental,SBPF,SUMO- POWER FEEDER,375.0,,exact-code,1.0,f1836fb1-d558-4a83-9841-2624dcdb6d0e,SUMO- POWER FEEDER,,SUMO- POWER FEEDER,0.0,375.0,False,Production Supplies
A,rental,SCL,SUMO- CHAIN LINK,375.0,,exact-code,1.0,7dc90c47-6612-4504-a409-628ecfcf1e22,SUMO- CHAIN LINK,,SUMO- CHAIN LINK,0.0,375.0,False,Production Supplies
A,rental,SHBHEAD,SUMO HEAD BI COLOR LED,375.0,,exact-description,1.0,127dce10-4158-4bc9-b4f3-abe21ae21ef7,102944,102944,SUMO HEAD BI COLOR LED,0.0,375.0,False,Lighting Equipment
A,rental,SHF,SUMO HEAD FEEDER,375.0,,exact-code,1.0,cc8e181c-bf05-46c6-89bf-0898d3a85bfa,SUMO HEAD FEEDER,,SUMO HEAD FEEDER,0.0,375.0,False,Production Supplies
A,rental,SL30,SUMO LENS 30 DEGREE,375.0,,exact-code,1.0,b442f82d-ecb4-49ac-a653-383bb5ab5eca,SUMO LENS 30 DEGREE,,SUMO LENS 30 DEGREE,0.0,375.0,False,Production Supplies
A,rental,SLS,SUMO LIGHTR SKIRT,375.0,,exact-code,1.0,5fd291c3-0329-4eb6-ad28-2ba480e05b40,SUMO LIGHTR SKIRT,,SUMO LIGHTR SKIRT,0.0,375.0,False,Lighting Equipment
A,rental,145085,ASTRA 1X1 BI-COLOR -LITEPANEL,250.0,LITEPANEL - LITEPANEL    KIT AND  ACCESS,exact-description,1.0,3808242f-2602-4eed-803e-7ea26c61b1fd,104534,104534,ASTRA 1X1 BI-COLOR - LITEPANEL,0.0,250.0,False,Lighting Equipment
A,rental,141721,9 LIGHT MAXIBRUTE HEAD,200.0,LSOFTMEDIUM/STANDARD - LIGHTINGSOFTLIGHTSDIFFUSION,exact-code,1.0,f3bc23ea-f0b6-4158-86cf-750ad1927b47,9 LIGHT MAXIBRUTE HEAD,,9 LIGHT MAXIBRUTE HEAD,0.0,200.0,False,Lighting Equipment
A,rental,LM4SPEC2,LITEMAT 4 SERIES 2 COMPLETE,200.0,LDISTRO - LIGHTING   DISTRIBUTION,exact-description,1.0,223ed9bf-4366-4bb7-ac75-6a0d464a6a29,104509,104509,LITEMAT 4  SERIES 2 COMPLETE,0.0,200.0,False,Production Supplies
A,rental,121905,125/200W LTM PAR HEAD,188.0,HMI - HMI Lights,exact-description,1.0,71509969-14e6-4bb0-b9f8-734fbf673fd3,104543,104543,125/200W LTM PAR HEAD,0.0,188.0,False,Lighting Equipment
A,rental,145110,KINO CELEB 200,175.0,LKINOLED - KINO  LED,exact-description,1.0,2737ffad-bca6-417c-a143-fa8d4a09d1b3,104518,104518,KINO CELEB 200,0.0,175.0,False,Lighting Equipment
A,rental,LM2S2,LITEMAT 2SERIES 2 COMPLETE,165.0,LDISTRO - LIGHTING   DISTRIBUTION,exact-description,1.0,608a1d25-9724-423e-be93-762ae7ddc210,104508,104508,LITEMAT 2 SERIES 2 COMPLETE,0.0,165.0,False,Production Supplies
